what,kind,bundleId,bundleVersion,description,time
java.version,sysinfo,,,"1.6.0_23",1524658616016
java.vm.info,sysinfo,,,"mixed mode",1524658616016
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1524658616016
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1524658616016
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1524658616016
java.vm.specification.version,sysinfo,,,"1.0",1524658616016
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1524658616016
java.vm.version,sysinfo,,,"19.0-b09",1524658616016
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1524658616109
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1524658619446
started,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1524658619509
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1524658619524
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1524658619650
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1524658619650
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1524658619650
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1524658619650
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524658619868
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1524658635544
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1524658635795
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1524658635982
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1524658636153
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1524658646474
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1524658652359
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1524658652390
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1524658653170
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1524658653655
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524658657683
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1524658659759
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1524658660336
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1524658660336
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524658662053
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524658670013
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524658670278
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524658673868
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1524658680708
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1524658680708
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524658681881
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524658683176
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1524658688984
started,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1524658692137
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524658692199
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524658698366
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1524658698382
